Ligando,Afinidad
z-2-hexenol,-4.416
Benzothiazol,-4.582
eugenol-M.musculus-,-5.341
Menthone,-4.734
hexylacetate,-4.34
Α-terpineol,-5.182
DEET,-5.075
2-decanone,-4.602
Isobutylacetate,-3.914
2-pentanone,-3.529
1-octen-3-ol,-4.418
2-dodecanone,-4.657
Trans-anethol,-5.324
3-octanol,-4.229
Butanal,-3.181
3-nonanone,-4.158
methylbutyrate,-3.73
piperonylacetone,-5.435
2-sec-butyl-3-methoxypyrazine,-4.061
Pyrazine,-3.024
geranylacetate,-5.288
2-methylpyrazine,-3.344
butyricacid,-3.289
4-octanol,-4.269
2-heptanone,-4.012
ethylhexanoate,-4.012
methylnonanoate,-4.163
Menthol,-5.532
methyldecanoate,-4.631
isoamylacetate,-3.688
Pentanal,-3.633
methyloctanoate,-4.282
methylheptanoate,-4.261
E-2-hexenylacetate,-4.432
hexanoicacid,-3.992
2-octanol,-4.55
Thymol,-5.43
1-pentanol,-3.718
Limonene,-5.478
Eucalypton,-5.892
dimethyldisulﬁde,-1.837
Acetaldehyde,-2.329
Helional-phenobarbital-,-5.417
decanoicacid,-4.493
butylacetate,-3.966
3-methylbutanol,-3.552
2-nonanone,-4.242
Ethyl-vanillin,-4.854
1-hexanol,-3.874
1-heptanol,-4.738
Cinnamaldehyde,-5.419
Heptanal,-4.079
Vanillin,-4.778
1-dodecanol,-5.203
butylanthralite,-4.843
ethyloctanoate,-4.367
Nonanal,-4.102
heptanoicacid,-3.898
Citral,-5.168
3-hydroxybutan-2-one,-3.304
2-pentanol,-3.828
Cineol,-5.011
Acetophenone,-5.044
Allyl-ionoe,-4.964
isovalericacid,-3.95
ethylisobutyrate,-3.684
Cyclohexanone,-4.423
2-ethyl1-hexanol,-4.3
methylp-tert-butylphenylacetate,-5.195
1-nonanol,-4.284
Dodecanal,-4.376
ethylanthralite,-5.622
Trans-cinnamicacid,-5.659
Diacetyl-C.elegans-,-3.176
dodecanoicacid,-5.303
ethylnonanoate,-4.487
ethylpropionate,-3.586
-Citronellal,-4.728
Hedione,-5.145
octanoicacid,-4.688
ethyl-trans-2-butenoate,-3.899
Picaridin,-5.345
Thiazole,-2.577
Hexanal,-3.448
1-octanol,-3.757
pentylacetate,-3.923
Gvaiacol,-4.943
2-nonanlol,-4.641
Citralva,-5.484
propylacetate,-3.751
6-methyl-5-hepten-2-one,-4.352
+Citronellal,-5.2
2-isobutyl-3-methoxypyrazine,-3.998
Linalool,-5.204
Cumarin,-5.757
2-isobutyl3-methoxypyrazine,-4.293
nonanoicacid,-4.536
ethyldecanoate,-4.893
Alpha-thujone,-4.818
isobutyricacid,-3.653
Anisol,-4.464
ethylchrysanthemate,-5.168
butylbutyrate,-4.291
"methylN,N,-dimethylanthranilite",-4.449
diethylsuccinate,-4.348
Quinolin,-5.571
Octanal,-3.764
Phenylmethanol,-4.916
Geraniol,-5.073
3-octanone,-4.299
ethylheptanoate,-4.245
ethylbutyrate,-4.062
methylsalicylate,-5.147
Decanal,-4.595
Lyral,-5.653
propionicacid,-3.419
3-methyl-2-buten-1-ol,-3.765
Gamma-decalactone,-5.035
1-decanol,-4.09
Para-anisaldehyde,-4.678
Camphor,-4.49
Indole,-5.271
ethyl-3-hydroxybutyrate,-4.348
2-octanone,-4.022
Beta-thujone,-4.947
Γ-hexalactone,-4.265
Benzaldehyde,-4.698
Maltol,-4.291
Undecanal,-4.223
1-butanol,-3.243
Pyridine,-3.867
methylhexanoate,-3.862
Safrol,-6.388
Beta-ionone,-5.214
Estragol,-5.199
